1,Soft
2,Soft
3,Soft
4,Hard
5,Soft
6,Soft
7,Soft
8,Hard
9,Soft
10,Soft
11,Soft
12,Hard
13,Soft
14,Hard
15,Soft
16,Soft
17,Soft
18,Soft
19,Hard
20,Soft
21,Soft
22,Hard
23,Soft
24,Soft
25,Soft
26,Hard
27,Soft
28,Soft
29,Soft
30,Hard
31,Hard
32,Soft
33,Soft
34,Soft
35,Soft
36,Soft
37,Hard
38,Soft
39,Soft
40,Hard
41,Soft
42,Soft
43,Soft
44,Hard
45,Soft
46,Hard
47,Soft
48,Soft
49,Soft
50,Soft
51,Hard
52,Soft
53,Soft
54,Soft
55,Soft
56,Soft
57,Hard
58,Soft
59,Soft
60,Hard
61,Hard
62,Soft
63,Hard
64,Soft
65,Soft
66,Soft
67,Soft
68,Hard
69,Soft
70,Soft
71,Hard
72,Soft
73,Soft
74,Soft
75,Soft
76,Soft
77,Hard
78,Soft
79,Soft
80,Hard
81,Soft
82,Soft
83,Soft
84,Soft
85,Hard
86,Soft
87,Hard
88,Hard
89,Soft
90,Soft
91,Soft
92,Soft
93,Hard
94,Soft
95,Soft
96,Hard
97,Soft
98,Hard
99,Soft
100,Soft
